0,BV10014496,BV11082079,0.1935483870967742,1,2000,2000,0.1,0.5600950717926025
1,BV10020858,BV11030734,0.6455368693402329,1,2000,2000,0.1,0.5516088008880615
2,BV10021817,BV11115106,0.9039351851851852,1,2000,2000,0.1,0.5930852890014648
3,BV11431954,BV11328076,0.9827235772357723,1,2000,2000,0.1,0.6188089847564697
4,BV10255203,BV11691191,0.9601990049751243,1,2000,2000,0.1,0.99959397315979
5,BV09103169,BV10022724,0.951063829787234,1,2000,2000,0.1,0.5434229373931885
6,BV10019962,BV11091392,0.3224431818181818,1,2000,2000,0.1,0.5990371704101562
7,BV11520981,BV10593223,0.6731843575418994,1,2000,2000,0.1,0.897345781326294
8,BV11670247,BV11584570,0.98661800486618,1,2000,2000,0.1,0.6484076976776123
9,BV11628143,BV09077734,0.0030581039755351682,1,2000,2000,0.1,0.5679192543029785
